pr_number,commit_sha,commit_message,author,commit_date
335631,f4ca427cac316fe4ac69fcb51c8ae925517f1cfc,"Carry full eligibility contract in the tool description

Hydrated chats skip ARTIFACT_TOOLS_INSTRUCTION and only see the tool
definition, so the default-to-no-registration rule, exclusions, and the
no-manufacturing clause must live there too.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",bhavyaus,2026-09-11 07:30:41+00:00
335628,54c830ac7135c0820a440f097abc6a7a4bb2142f,Add experimental HydraFusion opt-in for Copilot Agent Host,bhavyaus,2026-09-11 06:45:25+00:00
335628,062689828c0ac6c3a007ab9467886bb49611ea83,Rename HydraFusion setting to chat.copilot namespace,bhavyaus,2026-09-11 06:48:44+00:00
335628,c79ffa69de7746b1132fe5238f1f037f3962e645,Enable automatic experiment defaults for HydraFusion,bhavyaus,2026-09-11 06:52:23+00:00
335628,1eafa105a3de0d55c6a61e096adfa9931f23d3b7,Latch HydraFusion experiment defaults at startup,bhavyaus,2026-09-11 07:22:40+00:00
335628,4749472047fffef5565d0cf621c559bf1955bd5d,Fix HydraFusion session test setup and resume expectations,bhavyaus,2026-09-11 07:40:32+00:00
335625,2ca7d6d844ed3d718a4673d16d9ee6bd42f82840,Add opt-in crisp font rendering for macOS terminals,anthonykim1,2026-09-11 05:19:21+00:00
335620,2e1002063459f33837f90d6e4b3489e99255b899,Fix terminal split layout restoration for agent sessions,kavyansh18,2026-09-11 04:12:19+00:00
335618,710dd9860b2cb11d3b7f1fc436f3010e997ae4fd,"fix: keep diff markers out of markdown list prefixes

Fixes #335469",arpankanwer,2026-09-11 03:26:35+00:00
335618,0aa93ee7ebb75e512be9b08811fc1ba9adb25e8b,fix: cover blockquote and empty markers in diff list prefix,arpankanwer,2026-09-11 03:42:06+00:00
335615,dac5d24dc20066af8a0bc7fb694f86c079bfcc09,"fix: re-assert active editor context on workspace trust change

Fixes #335608
Re-observes the active editor when workspace trust changes so File > Save
precondition on activeEditor context re-evaluates without requiring an editor switch.",arpankanwer,2026-09-11 02:49:42+00:00
335613,97031bdb15f84c15721a8119843dec2d72ee208b,Enable session-specific sandbox settings,dileepyavan,2026-09-09 22:03:14+00:00
335613,229facda6b80e0c6415a97dccb1455749b03e519,Merge origin/main into DileepY/333900_1,dileepyavan,2026-09-09 22:18:39+00:00
335613,875dda7707d64e11d65c5264e87ff62146a102a6,Fix Copilot sandbox test launch credentials,dileepyavan,2026-09-09 23:58:39+00:00
335613,b29b5486f9706362c7ba360676f05de2822163b0,Merge branch 'main' into DileepY/333900_1,dileepyavan,2026-09-10 03:01:24+00:00
335613,d756d71913f31c761c723a5a896c73a1b5fe8d5b,fixing session picker state,dileepyavan,2026-09-10 05:53:50+00:00
335613,96bb65f6741ae487e77852301f717054f22e262d,Merge remote-tracking branch 'origin/DileepY/333900_1' into DileepY/333900_1,dileepyavan,2026-09-10 05:54:59+00:00
335613,e07138ad6e5d2bcbd135ce06e762c42d7c1db59c,Use regular sandbox settings for agent host forwarding,dileepyavan,2026-09-10 06:22:48+00:00
335613,66aa71bf796b1604f2e038ecb4ba5af80e5b7ad2,Remove unrelated blank line from sandbox tests,dileepyavan,2026-09-10 06:28:19+00:00
335613,218cfe5c4638a91161d38a883cffe1b03db06112,Merge origin/main into DileepY/333900_1,dileepyavan,2026-09-10 06:38:54+00:00
335613,5b8baa70b70250f1a1518a018b549f25d4353a4b,Keep combined agent host sandbox picker state synchronized,dileepyavan,2026-09-10 06:52:06+00:00
335613,b055b7fd683749310a524d34a527e499ca633516,Preserve metadata for ordinary agent host tool approvals,dileepyavan,2026-09-10 07:09:35+00:00
335613,7d996c0f9f7ad3807d4f9e86c9652b877ea3789c,Fix sandbox policy mock in chat component fixtures,dileepyavan,2026-09-10 07:38:16+00:00
335613,3d21c31ec777f08fbb724d707fe38edf381f3f2c,Refactor and bug fixing,dileepyavan,2026-09-10 23:58:34+00:00
335613,8bfa8be4dbf439e1922de08d1275d222f3b8835b,"Merge origin/main and repair sandbox picker conflict resolutions

Remove duplicated declarations, control flow, and tests from merge resolutions while preserving incoming Agent Host changes.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11 02:16:56+00:00
335613,d1da1e8a5f1a6dfc9b8b9a2701fef3acdbd2d7fd,Merge branch 'main' into DileepY/333900_1,dileepyavan,2026-09-11 03:58:06+00:00
335613,278829869c15ae849e0b0a40ee72c1f5681d04f9,Review comments,dileepyavan,2026-09-11 04:08:20+00:00
335613,88c27ad8477d3a9e9ccd1a999e3b3801a3ba5d55,"Merge remote updates before publishing host OS recovery fix

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11 04:09:37+00:00
335613,278088721be7c05e4c5b1c37658d7821cbc2b3a4,"Fix spurious subagent turns after task completion

Resume retained subagents only at user-message or assistant turn-start boundaries, not on late output or usage events. Add a deterministic regression for the extra completed child turn seen in CI.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11 04:19:39+00:00
335613,3f3b6c606a0079b3da4a1aaccaae0cb37e812015,"Remove obsolete AgentHost sandbox smoke test

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11 04:23:48+00:00
335613,7e3f2ab3df101e7164125c2dc779e08413554edf,"Fix AgentHost smoke suite setup after sandbox test removal

Pass an empty settings object to the shared setup helper so the remaining local AgentHost smoke tests compile and use default settings.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11 04:30:36+00:00
335613,db6e4862999058cc7f52bf84d8030c7efe644b14,"Keep upstream subagent lifecycle behavior in sandbox PR

Revert the unrelated lifecycle changes from 278088721be and their tests. Preserve main's subagent resumption behavior while retaining the sandbox fixes.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11 05:01:11+00:00
335613,5cf3e2d5554dec936596eda69c81a042f2f741ce,"Remove unrelated whitespace change from sandbox PR

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11 05:07:16+00:00
335613,0f6d3e3e2e9d900f4b9c4f663df6554eb82c2417,"Fix sandbox picker host service mocks in component fixtures

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11 05:29:57+00:00
335611,5d4074ff71877ff85e500892f5a809a8d1927ead,"chat: reserve pet space outside responses

Use chat list bottom padding for the pet clearance so response rows end with their content while preserving scroll-to-end behavior and persistent-content spacing.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 02:04:13+00:00
335611,fab6a00479db2ba1e2a59a96c0e280d4e4a0fa21,"chat: scale pet transcript padding

Derive the transcript clearance from the pet scale so Grow and Shrink keep the final response unobstructed without excess space.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 02:18:37+00:00
335610,ac0914dc6d853a49008c9d115d4f96612f12238f,"github-auth: Express token expiry in milliseconds

Rename the token exchange duration to expiresAfter and convert OAuth seconds at the exchange boundary.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-10 22:05:14+00:00
335610,e40616e8c7709404ca24d7fd197c603e7ec51482,"microsoft-authentication: Include token expiry in sessions

Expose MSAL's token expiration through the proposed authentication session expiration API as a positive millisecond duration.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11 01:17:46+00:00
335606,0b3f537caeba5b561d4bc867ac54e471b18fbb2e,"chat: gate existing Agent Host harness picker

Hide the current-harness picker for existing Agent Host sessions by default, while allowing experiments or an explicit hidden setting to enable it in the main VS Code window. Keep it hidden in the Agents window and preserve new-session selection and Local delegation.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",DonJayamanne,2026-09-11 00:48:46+00:00
335605,e0f704614f312bbffe6e4baf33ad78494434e5b2,feat: add connected tabs support with custom styling and layout adjustments,mrleemurray,2026-09-07 17:06:10+00:00
335605,5d825c3667b2cea5ad2b1e542dbe66b268eb1333,style: adjust connected tab styles and add tests for stroke behavior,mrleemurray,2026-09-09 10:35:22+00:00
335605,86306ec8ed7a877485f1462a58512d170f306415,feat: introduce connected editor tab style with customizable border,mrleemurray,2026-09-09 10:52:33+00:00
335605,5b9aa8528b09c4f342f417fe93739202b448ccbb,"feat: enhance connected editor tabs with clipping and overflow handling

- Added functionality to manage connected tab clipping and overflow edges in MultiEditorTabsControl.
- Introduced new CSS styles for connected editor tabs to improve visual consistency and interaction.
- Updated tests to validate the behavior of connected tabs, including clipping and overflow scenarios.
- Refactored tab rendering logic to accommodate new connected tab features and ensure proper layout.",mrleemurray,2026-09-09 13:16:01+00:00
335605,0cc7ad957730a94e220592531853551f9f5817a7,feat: enhance connected tab behavior with left-shoulder clipping and update tests,mrleemurray,2026-09-09 13:19:24+00:00
335605,18f42c80e608137755524b0d1abd4b23858d9939,feat: implement connected tab layout invalidation and enhance test coverage for connected tabs,mrleemurray,2026-09-09 14:23:33+00:00
335605,1e7803f1cedbbec3c2bb1b6e5464abcc16b63a4c,feat: enhance connected tab layout and alignment with auxiliary window support,mrleemurray,2026-09-09 15:28:07+00:00
335605,dbd8058fde720246594b92a9ec0e8e8cfda5466d,feat: refactor connected tab styling and update related tests for improved surface handling,mrleemurray,2026-09-09 15:46:42+00:00
335605,58637a4d186906e40ab3e00e9a77dcaffd85ec01,feat: implement connected tab theming participant and update color variable handling for improved UI consistency,mrleemurray,2026-09-09 15:48:59+00:00
335605,f577a6dd4a851a43a3ce6e7c434343851b079ad2,"feat: strengthen connected editor tab hierarchy

Align the selected tab with the editor surface, move the remaining strip to the editor header background, and remove gutters at tab and row boundaries. This makes the active document well unambiguous and follows the adjacency treatment from Visual Studio and Edge.\n\nRefs #331104

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",chryw,2026-09-10 17:57:33+00:00
335605,25ecf38f9924c7102567f7847571b2e5623ebef4,"style: connect editor tabs across the full strip

Remove the shared pill gutters from connected editor tabs so active and inactive fills align with every strip boundary. Preserve row-specific spacing for wrapped and separate pinned rows, and keep the active surface overlapping the document well by one stroke.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",chryw,2026-09-10 18:37:23+00:00
335605,206c171a23d874aaa981322c69d0c15ad4711fc2,"feat: refine connected document tab geometry and readability

Preserve filename identity and recover icons under compression, keep wrapped row heights consistent, and join the selected tab to a single HC document-well outline. Refine default strip palettes and cover bundled themes and viewport-edge states.\n\nRefs #331104

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",chryw,2026-09-11 00:50:33+00:00
335605,c44786738bb5ad780c5e4408844c9abc316f85e9,"fix: preserve connected tab selection and HC editor frames

Use native scroll coordinates after tab removal clamps the viewport. Suppress the HC editor card only when the effective editor part options show multiple tabs, preserving single and hidden-tab frames.

Refs #331104

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",chryw,2026-09-11 01:18:03+00:00
335605,66c40e9df5cd0664868a42b8030675b02c570d00,"fix: address connected tab review feedback

Distinguish active multi-selection in high contrast with an inset stroke that stays inside the tab strip. Restore explicit pill-color fixtures and test intrinsic content-only badge sizing.

Refs #331104

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",chryw,2026-09-11 02:09:56+00:00
335605,a542571fa3fd8c3d1cdfede4e5181dedbd5c75a1,"fix: isolate component fixture styles by theme identity

Prevent additional tab themes from leaking colors into later fixtures sharing the same light or dark scheme. Cover theming participants and nested editor variables in both installation orders; retain the existing screenshot baselines.

Refs #335605

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",chryw,2026-09-11 03:11:28+00:00
335605,b99540aa050d8d760f77bff19b67640064e0a036,"test: refresh baselines after fixture theme isolation

Verify workbench-only theming does not paint nested editor scrollers. Accept 30 visually reviewed Ubuntu baselines that remove the old fixture-only background artifacts; the original Solarized contamination remains rejected.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",chryw,2026-09-11 03:43:46+00:00
335605,08c5197d5d7d5b115a8f7f2735586684689457e1,"test: load editor styles in fixture isolation regression

The full test suite loads Monaco CSS, so editor roots correctly use the editor background rather than transparency. Load those styles explicitly and use distinct workbench/editor colors to keep the regression independent of test discovery order while still checking nested scrollers remain transparent.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",chryw,2026-09-11 04:03:39+00:00
335604,c626cb81faadc1d4fef73d5adcf85546ecbc38d6,"chat: fix experimental mode and permissions picker

Restore configured new-session defaults without leaking sandbox state, make permission writes safe for the first turn, and preserve session-specific sandbox policy.

Refine the combined control and popup with distinct hover states, compact icons, collapsible sections, aligned headers, and accessible single-row focus. Remove the now-unused ActionList focus-group machinery.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 00:30:07+00:00
335604,d214ab15017c339fe10037e29e57955252b23e54,"chat: separate combined picker divider from hover

Give the centered divider a dedicated two-pixel seam so neither side's hover surface paints behind it.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 00:44:38+00:00
335604,4fa05bf4c876af80d3b05f1a8b101e443dd03dc1,"chat: suppress branch picker host focus outline

Keep the non-interactive BranchPicker wrapper from drawing the global focus rectangle while inner controls retain their own keyboard focus indicators.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 00:52:55+00:00
335604,beaff2e538cff2c6ffb479d7c6549aabc4afb066,"chat: ensure branch picker host suppresses focus outline

Outrank the global tabindex focus rule regardless of stylesheet load order.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 00:55:43+00:00
335604,93e1227acab7489f6887a3035c16ed9810129f1a,"chat: suppress Agent Host config host focus outline

Target the Agent Host repository-config action wrapper shown around the Worktree and branch controls, and remove the unrelated BranchPicker override.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 01:01:49+00:00
335604,d830f07a2acd9df85d3fe7d09bdbfd6c80c61d04,"chat: import Agent Host config host cleanup helper

Ensure the focus-outline host marker cleanup can run without throwing during picker render.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 01:03:13+00:00
335604,c33c2fd7fb0e7f03ee4545e6f83ae90f58afd16d,"chat: refine combined mode and permissions picker

Restore visible hover and open states over chat backgrounds, use the compact sandbox glyph, and preserve focused header contrast. Give section summaries slightly more breathing room.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 01:09:20+00:00
335604,e19476b100843d192cdd2649877b3ef5cf52f5d6,"chat: increase combined picker header inset

Give the mode and permissions summaries enough breathing room from the popup edge while preserving their compact internal spacing.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 01:11:34+00:00
335604,38d3d531771d3d0d6382baa3fcaab5068f2034b8,"chat: inset combined picker header values

Add trailing space directly to the mode and permissions summary text so Autopilot and Assisted no longer sit against the row edge.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 01:15:15+00:00
335604,5700f5b601c7078f31cb5ba9bdcec9198b364a41,"chat: fix combined picker CI assertions

Provide the spacing tokens used by the picker fixtures, scope permission-row assertions to the permissions section, and measure the rendered gear-to-summary gap instead of the raw flex property.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11 01:25:18+00:00
335601,b6b7f8493b61bb4a17650a8f5621b2d793719c1a,Update distro commit to 9edcf676,vs-code-engineering[bot],2026-09-11 00:23:15+00:00
335600,a690212e2128b6d931564225cca17cb6957549ae,add more fun working messages,emxs1,2026-09-10 22:57:59+00:00
335600,4529df6193e4fa0813a6a44f2ea398dd186d5a24,normalize line endings to LF,emxs1,2026-09-10 22:59:40+00:00
335599,b302fdfe33932085e3267e2651fa2629ba93ef45,Agent Host changes for agents/diagnostic-logging-session-permissions,osortega,2026-09-11 00:05:22+00:00
335599,99fa7a1dc28912185227e60dd9182e8b560c83bb,"Fix remote session config recovery and option fallback

Recover early configuration subscriptions when the host announces the session, and retain schema options when dynamic lookups fail. Preserve cancellation and stale-target handling, with regression coverage for both paths.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",osortega,2026-09-11 00:55:29+00:00
335599,d98157b442cf20454124ab68f95ceea3d9518bf4,"Fix agent host connection services in chat fixtures

Register the connection resolver with inert local and remote fixture services so chat input fixtures can construct the generic configuration controls.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",osortega,2026-09-11 01:07:31+00:00
335597,a7007457f86eefcc8e485fdc96dc01f6fc8a4010,"Revert ""Add Agents Window taskbar shortcut and icons (#335333)""

This reverts commit 716e76d572e0ca013ef4b102b78cb1b7fa2bb46b.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dmitrivMS,2026-09-10 23:50:30+00:00
335596,89037d60b72652ad96692a121a6c9d3a7df6878c,"eslint: allow bracket notation for dictionary receivers

Add exact receiver-path exceptions without requiring type-aware linting. Configure environment and scoped dictionary receivers, preserve checks for ordinary members, and cover the behavior with rule and configuration tests.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",alexdima,2026-09-10 23:29:10+00:00
335595,df4ac6382b1783b6baec74489776e06b56b92f23,"automations: fix: synchronize restored Cloud model options

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:05+00:00
335595,173f1775abaaa5b3612cb1274b4606c206607c45,"automations: fix: preserve canonical Cloud configuration

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:08+00:00
335595,deabc94ebcbeee8ec57e35efd0cbb922b4754c0f,"automations: fix: ignore unsupported Cloud permission overrides

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:11+00:00
335595,f870ec0dc069dce6c45f32bc5dbcf98116fd429c,"automations: fix: clamp restored CLI approval preferences

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:15+00:00
335595,558f45ca91d5f2d36bf026008a27b194c5c673d2,"automations: fix: persist Cloud Sandbox execution choices

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:18+00:00
335595,a2edf971fb6048f5aaa4da87a75d4979bf59491f,"automations: fix: retain custom agents on the first run turn

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:21+00:00
335595,564cd05e5e50e1e5f96f2c960c52d6bb3d04cec6,"codex: fix: retain workspace agents across worktree turns

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:29+00:00
335595,66ee5f960b032875783ab5c1779499cb4142cab2,"automations: fix: expose native provider configuration controls

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:33+00:00
335594,7d16dde82d7c9729a0f9802ec68f9e34c55ad8db,"Fix forked process console forwarding reporting shared references as circular

The JSON.stringify replacer in bootstrap-fork's safeToString pushed every
object into a `seen` array and never removed anything, so a value that is
referenced twice in the console arguments of a forked process (a DAG, not
a cycle) was forwarded to the parent as ""[Circular]"" after its first
occurrence. For example console.log(shared, { a: shared, b: shared })
arrived as [{""value"":1},{""a"":""[Circular]"",""b"":""[Circular]""}].

Track only the current ancestor path instead, using the replacer's `this`
(the holder) to drop subtrees that are finished. True cycles are still
reported as ""[Circular]"". The isObject helper is gone: every object has
to be tracked for the holder check to work, and RegExp/Date were the only
exclusions (a Date is already a string by the time the replacer sees it).

Added an integration test that forks bootstrap-fork with a fixture that
logs a shared reference and a genuine cycle.",Dev-next-gen,2026-09-10 23:22:24+00:00
335594,3fa8626aca08f9acb2480cfd60e322d8c29d53ee,"Simplify comment on JSON serialization logic

Co-authored-by: Copilot Autofix powered by AI <175728472+Copilot@users.noreply.github.com>",Dev-next-gen,2026-09-10 23:28:15+00:00
335593,e4bf46675c893125c0c413ac2be65defccf00afd,"automations: fix: revert broad provider configuration changes

Revert 1328607eb90d69b7a66fb2e8d4fdca49dcc0f9d3 (#335018) so the worktree availability fix and unrelated provider configuration changes can be reviewed separately. Preserve subsequent main changes and the independent ActionList PR.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-10 23:12:08+00:00
335593,afac4abfbeb5bf5362a0d7233e0cdb5e5224cea3,"agentHost: fix: mark generated worktree sessions pending early

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:25+00:00
335593,fd1a5ccfea305975d3ee90e7e59a59026160bd97,"automations: fix: advertise worktrees for all Agent Host agents

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:37+00:00
335593,a498f2a7a8886490a234f2f9546ead9c59f45ccb,"automations: fix: resolve worktree branches on the selected host

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:42+00:00
335593,3ef1c18e5ebc32197a7f7cddc48a1708dccde712,"automations: fix: allow leaving unavailable worktree isolation

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:47+00:00
335593,00eea67533c542a74494edddcc473cd762a702e4,"automations: fix: coalesce repository option reloads

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08 09:39:51+00:00
335593,cc892bc126bdcd597ed5a9fe775d862e9ebe1032,"automations: fix: validate workspace worktree support in tools

Consult provider-owned workspace capabilities before accepting an explicit worktree target. Preserve legacy providers and unrelated edits, propagate lookup failures, and cancel pending validation without writing.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-10 15:58:55+00:00
335593,790568f194ff986449c9c1fb62142149fc8e09d7,"automations: fix: prevent invalid worktree re-enablement

Keep the saved-branch exception only while Worktree is already selected. After opting out, require available repository branches before enabling isolation again.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-10 15:59:11+00:00
335592,3a3f5b235226d0030480c7d177b6354f0a8f754f,"chat: Make customizations multi-root workspace aware

Group workspace customizations by folder, scope creation flows to the originating workspace, and consistently show source provenance in customization rows while moving descriptions to hovers.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",houghj16,2026-09-10 23:13:48+00:00
335589,1600886e038cee12084783cf2e7c0c5dd7ce7376,"Fix safeStringify treating shared references as circular

safeStringify kept every object it had seen in a Set and never removed
anything, so a value that appears in two sibling branches (a DAG, not a
cycle) was replaced with ""[Circular]"" on every occurrence after the
first. For example safeStringify([shared, { x: shared }]) returned
[{""a"":1},{""x"":""[Circular]""}].

Track only the current ancestor path instead, using the replacer's
`this` (the holder) to drop subtrees that are finished. True cycles are
still reported as ""[Circular]"". This is the same change that was made
to stableStringify in #327398.

The existing safeStringify test encoded the old behaviour: obj2 is both
obj1.friend and a sibling in `c`, so its second occurrence is shared,
not circular. Updated that expectation and added a test for shared
references in object and array positions.",Dev-next-gen,2026-09-10 23:00:22+00:00
