issue_number,title,body,state,created_at,updated_at,closed_at,author,comments_count,labels
335678,Opening an automations file should show an action to import/add the automation,"Testing #335507

I would have assumed that when I open an automations file that there is an action or button to import this automation file. This should be available in both agents and editor window. When importing from editor window it should open the agents window and reveal the automation (as long as we don't have support in editor window)

<img width=""2560"" height=""1043"" alt=""Image"" src=""https://github.com/user-attachments/assets/38ff1b8e-8886-4bec-936c-fcc10298c3e8"" />",open,2026-09-11 10:15:08+00:00,2026-09-11 10:15:08+00:00,,benibenj,0,
335677,Work from Repository: Early pasting into repo picker does not show Clone from URL,"Testing #335538

Pasting an URL right after the picker opened does not show the `Clone from URL` entry:

<img width=""627"" height=""67"" alt=""Image"" src=""https://github.com/user-attachments/assets/bed42ac0-61fd-45d1-b988-4585bce6ac39"" />

(Also not after waiting for the progress indicator to stop.)",open,2026-09-11 10:09:10+00:00,2026-09-11 10:09:10+00:00,,chrmarti,0,
335676,Accepting an automation template keeps it visible. Should it?,"Testing #335507

When I created an automation from the built-in template I kind of expected something to happen with that template. Either disappearing or some indication on it. I now see both automation and template at the same time.

<img width=""363"" height=""485"" alt=""Image"" src=""https://github.com/user-attachments/assets/0beba636-cf1b-4d75-ab3d-eb6e9db5a162"" />",open,2026-09-11 10:08:33+00:00,2026-09-11 10:08:33+00:00,,benibenj,0,
335675,"Automations overflow menu hover should be just ""More Actions...""","Testing #335507

Currently hovering over `more actions` gives you a very long hover. It is already clear that the actions act on this current automations so no need to mention it in the hover.

Also, it should have 3 dots `...` at the end

<img width=""411"" height=""131"" alt=""Image"" src=""https://github.com/user-attachments/assets/6ac770f3-f2a8-410f-a403-4771e2ddf3dd"" />",open,2026-09-11 10:01:29+00:00,2026-09-11 10:02:56+00:00,,benibenj,0,
335674,Work in Repository: Does not accept SSH connections,"Testing #335538

SSH connection strings are not supported currently, e.g.: entering `git@github.com:microsoft/PowerToys.git` into the picker does not offer to clone from it.",closed,2026-09-11 09:59:53+00:00,2026-09-11 10:12:29+00:00,2026-09-11 10:11:16+00:00,chrmarti,1,
335673,Unable to DnD import multiple automations,"Testing #335507

I think this should be made possible

https://github.com/user-attachments/assets/beb785d4-a6ae-443f-ac65-0e025cb42d00",open,2026-09-11 09:59:23+00:00,2026-09-11 09:59:23+00:00,,benibenj,0,
335672,Folder picker resurfaces deleted folder,"Testing #335538

After deleting a folder on disk and removing it from the recent folders in the picker, it resurfaces when I select its repository and then switch to a local harness. It seems to be remembered as already cloned. The session then fails:

<img width=""949"" height=""262"" alt=""Image"" src=""https://github.com/user-attachments/assets/43a12e1d-ad68-415e-b0d9-a9ae5bd5641a"" />",open,2026-09-11 09:49:07+00:00,2026-09-11 09:49:07+00:00,,chrmarti,0,
335671,Automations DnD: No hover feedback,"Testing #335507

https://github.com/user-attachments/assets/3c32beb2-bbfd-4fb2-b0e8-e587e6d2a7aa",open,2026-09-11 09:48:15+00:00,2026-09-11 09:48:15+00:00,,benibenj,0,
335670,"Got a duplicated output on the next message after a ""Try again""","Testing #335598

Flow was:
Ask: Why do the PR comments show an ""Accept"" and ""Delete"" button, but the agent feedback does not?
Get a response about buttons.
Start testing.
Ask: Address the comments in the PR, if appropriate.
Disconnect WIFI
Reconnect and Try Again
Get a good response.
Ask: Also address the CI failure
Get a response about buttons

Logs sent offline.",open,2026-09-11 09:45:27+00:00,2026-09-11 09:45:35+00:00,,alexr00,0,
335669,Customization migrations - migration appears in progress,"Testing #335590

* Chose to do a migration but not delete the source files
* The migration completed successfully as I saw the banner
* Closed the customizations dialog and reopened it and now I see the following
* The migration appears ""In progress"", which is rendered like a link but nothing happens when I click it
<img width=""982"" height=""654"" alt=""Image"" src=""https://github.com/user-attachments/assets/8e39d58b-d3ac-4327-be4a-e9516271d8fe"" />

* I did the migration again, this time choosing to delete the source file and now it completed successfully
<img width=""1002"" height=""837"" alt=""Image"" src=""https://github.com/user-attachments/assets/357e759e-6b19-473b-b85c-3dbc056ee058"" />",open,2026-09-11 09:45:25+00:00,2026-09-11 09:45:25+00:00,,lszomoru,0,
335668,Automations are disabled by default when imported,"Testing #335507

Automations are disabled by default when imported. I'm not sure if it's the right choice or not, but I find it hard to tell that an automation is disabled. Especially next to another automation which looks almost exactly the same, just without the disabled label which doesn't stand out and floats at a weird position.

I think users might accidentally not enable the automation and not notice the automation is disabled by looking at the card.

<img width=""662"" height=""139"" alt=""Image"" src=""https://github.com/user-attachments/assets/6604fe23-9d79-47d7-af2d-e301c3e745b7"" />",open,2026-09-11 09:44:37+00:00,2026-09-11 09:44:37+00:00,,benibenj,0,
335667,Restore contributed notebook serializer activation,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->

Opening a contributed notebook could build the extension-host activation snapshot before its serializer activation event was registered, preventing the owning extension from activating.

- **Registration:** Eagerly loads the notebook extension point independently of delayed `NotebookService` construction.
- **Coverage:** Verifies notebook contributions generate `onNotebookSerializer:<type>` in the activation snapshot.

<!-- START COPILOT CODING AGENT SUFFIX -->

- Fixes #335658",open,2026-09-11 09:40:22+00:00,2026-09-11 09:47:59+00:00,,Copilot,0,
335666,Customization migrations - not seeing a failure in case of a name conflict,"Testing #335590

> The failed source prompt remains available for retry.

In my case the migration completed as a new name (with the `-2` suffix) was used

<img width=""973"" height=""173"" alt=""Image"" src=""https://github.com/user-attachments/assets/050c6831-772a-4a25-9325-be895e7726fb"" />",open,2026-09-11 09:40:08+00:00,2026-09-11 09:40:08+00:00,,lszomoru,0,
335665,Local harness pick initiated clone shows no progress,"Testing #335538

I picked a repository not yet cloned locally and then switched to a local harness. The Git clone operation started by that did not show any progress, so it wasn't clear something was still making progress for its duration.",open,2026-09-11 09:39:48+00:00,2026-09-11 09:39:48+00:00,,chrmarti,0,
335664,Do not open inline math on an escaped dollar sign in markdown,"Fixes #335663

An escaped `\$` in a Markdown paragraph opened an inline math span, because the lookbehind `(?<=\s|\W|^)(?<!\$)` accepts a preceding backslash (`\` matches `\W`) and only rejects a preceding `$`. The span then swallowed everything up to the next bare `$`, so inline code spans after the first `\$` lost their highlighting.

This adds `(?<!\\)` to the lookbehind of `math_inline_single` and `math_inline_double`. The other rules are not affected: `math_inline_block` and both rules in `md-math-block.tmLanguage.json` require whitespace or line start directly before the `$`, and `md-math-fence.tmLanguage.json` does not match `$` at all.

Limitation: the check only looks at one character, so `\\$` (an escaped backslash followed by a real `$`) is now also rejected as an opener. The rest of this grammar and the base Markdown grammar do not count backslashes either, so this keeps the same approximation.

**Testing**

- New fixtures in `md-math.md`: `\$ ... \$` and `\$\$ ... \$\$` with a code span after them (not math, code span highlighted), and `$x+y$` (still math). Results file regenerated; the 600 existing entries are unchanged, 33 entries were appended.
- `npm run test-extension -- -l vscode-colorize-tests`: 109 passing.",open,2026-09-11 09:36:33+00:00,2026-09-11 09:49:26+00:00,,0xNeshi,1,
335663,Markdown: escaped `\$` opens an inline math span and hides highlighting until the next `$`,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 1.137.0 (645f29cc3176500b4b5762ba887cf2a7f0ffdf2c, x64)
- OS Version: Ubuntu 22.04.5 LTS

This is about editor syntax highlighting in a plain Markdown file, not the preview. The grammar in `extensions/markdown-math/syntaxes/md-math-inline.tmLanguage.json` is the same on `main`.

Steps to Reproduce:

1. Open a new `.md` file and paste this paragraph:
   ```
   Let’s consider a DvP of X vs \$ where the two assets are provided by different `admin` parties. The allocations between the two tokens will always be settled independently as the `admin` party of X does not validate the \$ settlement and vice versa.
   ```
2. Look at the two `` `admin` `` code spans.

**Expected:** both `` `admin` `` spans are highlighted as inline code. `\$` is an escaped, literal dollar sign per CommonMark and must not open a math span.

**Actual:** neither `` `admin` `` is highlighted, i.e. both are in plain text. Everything from the first `\$` to the next `\$` is tokenized as `markup.math.inline.markdown`.

**Workaround:** wrap the first `\$` in backticks.

**Cause:** the `math_inline_single` rule uses

```
(?<=\s|\W|^)(?<!\$)(\$)(.+?)(\$)(?!\$)(?=\s|\W|$)
```

A backslash satisfies `(?<=\W)`, and `(?<!\$)` only rejects a preceding `$`. So `\$` is accepted as an unescaped opener. `math_inline_double` has the same lookbehind, so `\$\$ ... \$\$` is affected as well.

Related, but a different component: #334935 covers the WYSIWYG Markdown Editor renderer.",open,2026-09-11 09:36:11+00:00,2026-09-11 09:46:11+00:00,,0xNeshi,0,"triage-needed, new release"
335662,Automations exported file fails to open in markdown preview,"Testing #335507

https://github.com/user-attachments/assets/d0485f03-27dc-496d-9197-00f269ce4e9c",closed,2026-09-11 09:31:46+00:00,2026-09-11 09:33:16+00:00,2026-09-11 09:33:16+00:00,benibenj,1,
